code,areaName,N/A,ABBangladeshi,ABChinese,ABIndian,ABPakistani,ABAsian,BBAfrican,BBCaribbean,BBBlack,whiteAndAsian,whiteAndBlackAfrican,whiteAndBlackCaribbean,multiple,wBritish,wIrish,wTraveller,wRoma,wOther,arab,other
W92000004,Wales,0,15314,14454,21070,17534,20656,19907,3700,3947,14035,8068,13732,12763,2814247,13214,3550,1843,82994,11641,14825
E12000001,North East,0,16355,14442,22021,27290,17938,22066,1704,2865,12490,6527,5650,8604,2397557,8384,2621,2375,51783,10406,15936
E12000002,North West,0,60859,54051,140413,303611,63751,126608,25919,21391,47829,30011,46962,38443,6019385,61422,5741,7359,253487,43865,66291
E12000003,Yorkshire and The Humber,0,29018,29589,81322,296437,50689,80907,22736,14000,36888,15644,39296,25189,4431265,25215,5891,9464,208130,25474,53620
E12000004,East Midlands,0,20980,22973,229831,71038,46281,83161,30828,15997,30803,14341,46400,25703,3882390,27130,4620,7196,258438,13360,48584
E12000005,West Midlands,0,77518,33301,276030,319165,88250,146089,90192,32738,46478,16011,81193,34542,4275557,47886,6207,6809,248565,31790,92436
E12000006,East of England,0,50685,38444,136974,99452,80314,118731,41884,24334,51448,27376,51950,48880,4972149,57964,8977,9675,429599,15639,70593
E12000007,London,0,322054,147520,656272,290549,401245,697054,345405,145911,125188,77341,132555,170691,3239281,156333,7031,37689,1290838,139791,416977
E12000008,South East,0,39881,64329,241537,145311,159487,150540,43523,27521,88106,38633,62087,72045,7315058,78219,16748,12786,586569,29574,106109
E12000009,South West,0,12217,26516,58847,17432,44172,43318,17226,9070,34960,15644,33217,30253,5008149,31698,6382,5785,257594,10302,38404
